notes.x	family	genus_species	lowest_tax	lowest_tax_cat	notes.y
NA	Gobiidae	Gobiodon c.f. quinquestrigatus	NA	NA	NA
NA	Gobiidae	Gobiodon rivulatus	NA	NA	NA
NA	Gobiidae	Gobiopsis springeri	NA	NA	NA
NA	Gobiidae	Grallenia n.sp.	NA	NA	NA
NA	Gobiidae	Luposicya lupus	NA	NA	NA
NA	Gobiidae	Oplopomus caninoides	NA	NA	NA
NA	Gobiidae	Pleurosicya boldinghi	NA	NA	NA
NA	Gobiidae	Pleurosicya coerulea	NA	NA	NA
NA	Gobiidae	Pleurosicya elongata	NA	NA	NA
NA	Gobiidae	Priolepis agrena	NA	NA	NA
NA	Gobiidae	Priolepis kappa	NA	NA	NA
NA	Gobiidae	Priolepis vexilla	NA	NA	NA
NA	Gobiidae	Sueviota sp.	NA	NA	NA
NA	Gobiidae	Timmatom nanus	NA	NA	NA
NA	Gobiidae	Trimma c.f. cheni	NA	NA	NA
NA	Gobiidae	Trimma griffithsi	NA	NA	NA
NA	Gobiidae	Trimma haimassum	NA	NA	NA
NA	Gobiidae	Trimma sp.2 (Allen & Erdmann)	NA	NA	NA
NA	Gobiidae	Trimma tevegae	NA	NA	NA
NA	Haemulidae	Plectorhynchus lessonii	NA	NA	NA
NA	Holocentridae	Myripristis kochiensis	NA	NA	NA
NA	Holocentridae	Myripristis pralinea	NA	NA	NA
NA	Holocentridae	Myrioristis violacea	NA	NA	NA
NA	Labridae	Choerodon zosterophorus	NA	NA	NA
NA	Labridae	Cirrhilabrus rubrimarginatus	NA	NA	NA
NA	Labridae	Cirrhilabrus rubripinnis	NA	NA	NA
NA	Labridae	Halichoeres bicolor	NA	NA	NA
NA	Labridae	Halichoeres hartzfeldii	NA	NA	NA
NA	Labridae	Leptojulis cyanopleura	NA	NA	NA
NA	Labridae	Oxycheilinus orientalis	NA	NA	NA
NA	Labridae	Pseudocoris yamashiroi	NA	NA	NA
NA	Moringuidae	Moringua ferruginea	NA	NA	NA
NA	Mullidae	Parupeneus barberinoides	NA	NA	NA
NA	Muraenidae	Gymnothorax flavimarginatus	NA	NA	NA
NA	Muraenidae	Gymnothorax fuscomaculatus	NA	NA	NA
NA	Muraenidae	Gymnothorax herrei	NA	NA	NA
NA	Muraenidae	Gymnothorax phasmatodes	NA	NA	NA
NA	Muraenidae	Gymnothorax pseudothyrsoideus	NA	NA	NA
NA	Muraenidae	Gymnothorax reevsii	NA	NA	NA
NA	Muraenidae	Gymnothorax rueppelliae	NA	NA	NA
NA	Muraenidae	Uropterygius nagoensis	NA	NA	NA
NA	Nemipteridae	Scolopsis ciliata	NA	NA	NA
NA	Ophichthidae	Callechelys marmorata	NA	NA	NA
NA	Ophichthidae	Ichthyapus vulturus	NA	NA	NA
NA	Opittognathidae	Opistognathus sp. 6 (Allen & Erdmann)	NA	NA	NA
NA	Pinguipedidae	Parapercis bimacula	NA	NA	NA
NA	Pinguipedidae	Parapercis millepunctata	NA	NA	NA
NA	Pinguipedidae	Parapercis schauinslandii	NA	NA	NA
NA	Pinguipedidae	Parapercis n.sp.	NA	NA	NA
NA	Platycephalidae	Rogadius patriciae	NA	NA	NA
NA	Platycephalidae	sp.	NA	NA	NA
NA	Platycephalidae	Thysanophrys celebicus	NA	NA	NA
NA	Plesiopidae	Steeneichthys nativitatus	NA	NA	NA
NA	Pomacanthidae	Centropyge vrolicki	NA	NA	NA
NA	Pomacanthidae	Pomacanthus semicircularis	NA	NA	NA
NA	Pomacentridae	Chromis alpha	NA	NA	NA
NA	Pomacentridae	Chromis atripectoralis	NA	NA	NA
NA	Pomacentridae	Chromis trifasciatus	NA	NA	NA
NA	Pomacentridae	Chrysiptera sp1. c.f. rex	NA	NA	NA
NA	Pomacentridae	Neopomacentrus violascens	NA	NA	NA
NA	Pomacentridae	Pomacentrus nagasakiensis	NA	NA	NA
NA	Pomacentridae	Pomacentrus nigromarginatus	NA	NA	NA
NA	Pseudochromidae	Pseudochromis cf. fuscus	NA	NA	NA
NA	Pseudochromidae	Pseudochromis perspicillatus	NA	NA	NA
NA	Pseudochromidae	Pseudoplesiops immaculatus	NA	NA	NA
NA	Ptereleotridae	Parioglossus philippinus	NA	NA	NA
NA	Scaridae	Chlorurus sordidus	NA	NA	NA
NA	Scaridae	Scarus flavipectoralis (?)	NA	NA	NA
NA	Scaridae	Scarus tricolor juveniles (?)	NA	NA	NA
NA	Scorpaenidae	Cocotropus dermacanthus	NA	NA	NA
NA	Scorpaenidae	Scorpaenopsis macrochir	NA	NA	NA
NA	Scorpaenidae	Scorpaenopsis oxycephala	NA	NA	NA
NA	Scorpaenidae	Sebastapistes cyanostigma	NA	NA	NA
NA	Scorpaenidae	Sebastapistes fowleri	NA	NA	NA
NA	Scorpaenidae	Taenianotus triacanthus	NA	NA	NA
NA	Serranidae	Cephalopholis aitha	NA	NA	NA
NA	Serranidae	Epinephelus hexagonatus	NA	NA	NA
NA	Serranidae	Liopropoma swalesi	NA	NA	NA
NA	Serranidae	Plectranthias inermis	NA	NA	NA
NA	Serranidae	Plectranthias longimanus	NA	NA	NA
NA	Serranidae	Pogonoperca punctata	NA	NA	NA
NA	Serranidae	Pseudanthias hypselosoma	NA	NA	NA
NA	Serranidae	Pseudanthias pleurotaenia	NA	NA	NA
NA	Serranidae	Pseudanthias squamipinnis	NA	NA	NA
NA	Serranidae	Pseudanthias tuka	NA	NA	NA
NA	Soleidae	Aseraggodes suzumotoi	NA	NA	NA
NA	Soleidae	Heteromycteris hartzfeldii	NA	NA	NA
NA	Soleidae	Pardachirus paroninus	NA	NA	NA
NA	Solenostomidae	Solenostomus paradoxus	NA	NA	NA
NA	Synanceiidae	Synancea alalua	NA	NA	NA
NA	Syngnathidae	Bhanotia pauciradiata	NA	NA	NA
NA	Syngnathidae	Corythoichthys flavofasciatus	NA	NA	NA
NA	Syngnathidae	Corythoichthys polynotatus	NA	NA	NA
NA	Syngnathidae	Corythoichthys sculptus	NA	NA	NA
NA	Syngnathidae	Cosmocampus investigatoris	NA	NA	NA
NA	Syngnathidae	Doryrhamphus melanopleura	NA	NA	NA
NA	Syngnathidae	Festucalex sp. C.f. n.sp.	NA	NA	NA
NA	Syngnathidae	Halicampus dunckeri	NA	NA	NA
NA	Syngnathidae	Halicampus macrorhynchus	NA	NA	NA
NA	Syngnathidae	Phoxocampus tetrophthalmus	NA	NA	NA
NA	Syngnathidae	Trachyrhamphus longirostris	NA	NA	NA
NA	Tetraodontidae	Canthigerter bennetti	NA	NA	NA
NA	Tetrarogidae	Richardsonichthys leucogaster	NA	NA	NA
NA	Tripterygiidae	Enneapterygius flavoccipitus	NA	NA	NA
NA	Tripterygiidae	Enneapterygius mirabilis	NA	NA	NA
NA	Tripterygiidae	Helcogramma hudsoni	NA	NA	NA
NA	Tripterygiidae	Helcogramma obtusirostre	NA	NA	NA
NA	Uranoscopidae	Uranoscopus sulphureus	NA	NA	NA
